Country,Category,DateTime,Value,Frequency,HistoricalDataSymbol,LastUpdate
United States,Consumer Price Index CPI,1950-01-31T00:00:00,23.51,Monthly,UNITEDSTACONPRIINDCP,2015-04-25T14:49:00
United States,Consumer Price Index CPI,1950-02-28T00:00:00,23.61,Monthly,UNITEDSTACONPRIINDCP,2014-06-11T09:44:00
United States,Consumer Price Index CPI,1950-03-31T00:00:00,23.64,Monthly,UNITEDSTACONPRIINDCP,2014-06-11T09:44:00
United States,Consumer Price Index CPI,1950-04-30T00:00:00,23.65,Monthly,UNITEDSTACONPRIINDCP,2015-04-25T14:49:00
United States,Consumer Price Index CPI,1950-05-31T00:00:00,23.77,Monthly,UNITEDSTACONPRIINDCP,2014-06-11T09:44:00
United States,Consumer Price Index CPI,1950-06-30T00:00:00,23.88,Monthly,UNITEDSTACONPRIINDCP,2014-06-11T09:44:00
United States,Consumer Price Index CPI,1950-07-31T00:00:00,24.07,Monthly,UNITEDSTACONPRIINDCP,2015-04-25T14:49:00
United States,Consumer Price Index CPI,1950-08-31T00:00:00,24.2,Monthly,UNITEDSTACONPRIINDCP,2014-06-11T09:44:00
United States,Consumer Price Index CPI,1950-09-30T00:00:00,24.34,Monthly,UNITEDSTACONPRIINDCP,2014-06-11T09:44:00
United States,Consumer Price Index CPI,1950-10-31T00:00:00,24.5,Monthly,UNITEDSTACONPRIINDCP,2015-04-25T14:49:00
United States,Consumer Price Index CPI,1950-11-30T00:00:00,24.6,Monthly,UNITEDSTACONPRIINDCP,2014-06-11T09:44:00
United States,Consumer Price Index CPI,1950-12-31T00:00:00,24.98,Monthly,UNITEDSTACONPRIINDCP,2014-06-11T09:44:00
United States,Consumer Price Index CPI,1951-01-31T00:00:00,25.38,Monthly,UNITEDSTACONPRIINDCP,2014-06-11T09:44:00
United States,Consumer Price Index CPI,1951-02-28T00:00:00,25.83,Monthly,UNITEDSTACONPRIINDCP,2014-06-11T09:44:00
United States,Consumer Price Index CPI,1951-03-31T00:00:00,25.88,Monthly,UNITEDSTACONPRIINDCP,2014-06-11T09:44:00
United States,Consumer Price Index CPI,1951-04-30T00:00:00,25.92,Monthly,UNITEDSTACONPRIINDCP,2015-04-25T14:49:00
United States,Consumer Price Index CPI,1951-05-31T00:00:00,25.99,Monthly,UNITEDSTACONPRIINDCP,2014-06-11T09:44:00
United States,Consumer Price Index CPI,1951-06-30T00:00:00,25.93,Monthly,UNITEDSTACONPRIINDCP,2014-06-11T09:44:00
United States,Consumer Price Index CPI,1951-07-31T00:00:00,25.91,Monthly,UNITEDSTACONPRIINDCP,2015-04-25T14:49:00
United States,Consumer Price Index CPI,1951-08-31T00:00:00,25.86,Monthly,UNITEDSTACONPRIINDCP,2014-06-11T09:44:00
United States,Consumer Price Index CPI,1951-09-30T00:00:00,26.03,Monthly,UNITEDSTACONPRIINDCP,2015-04-25T14:49:00
United States,Consumer Price Index CPI,1951-10-31T00:00:00,26.16,Monthly,UNITEDSTACONPRIINDCP,2014-06-11T09:44:00
United States,Consumer Price Index CPI,1951-11-30T00:00:00,26.32,Monthly,UNITEDSTACONPRIINDCP,2014-06-11T09:44:00
United States,Consumer Price Index CPI,1951-12-31T00:00:00,26.47,Monthly,UNITEDSTACONPRIINDCP,2015-04-25T14:49:00
United States,Consumer Price Index CPI,1952-01-31T00:00:00,26.45,Monthly,UNITEDSTACONPRIINDCP,2014-06-11T09:44:00
United States,Consumer Price Index CPI,1952-02-29T00:00:00,26.41,Monthly,UNITEDSTACONPRIINDCP,2014-06-11T09:44:00
United States,Consumer Price Index CPI,1952-03-31T00:00:00,26.39,Monthly,UNITEDSTACONPRIINDCP,2015-04-25T14:49:00
United States,Consumer Price Index CPI,1952-04-30T00:00:00,26.46,Monthly,UNITEDSTACONPRIINDCP,2014-06-11T09:44:00
United States,Consumer Price Index CPI,1952-05-31T00:00:00,26.47,Monthly,UNITEDSTACONPRIINDCP,2014-06-11T09:44:00
United States,Consumer Price Index CPI,1952-06-30T00:00:00,26.53,Monthly,UNITEDSTACONPRIINDCP,2015-04-25T14:49:00
United States,Consumer Price Index CPI,1952-07-31T00:00:00,26.68,Monthly,UNITEDSTACONPRIINDCP,2014-06-11T09:44:00
United States,Consumer Price Index CPI,1952-08-31T00:00:00,26.69,Monthly,UNITEDSTACONPRIINDCP,2014-06-11T09:44:00
United States,Consumer Price Index CPI,1952-09-30T00:00:00,26.63,Monthly,UNITEDSTACONPRIINDCP,2014-06-11T09:44:00
United States,Consumer Price Index CPI,1952-10-31T00:00:00,26.69,Monthly,UNITEDSTACONPRIINDCP,2014-06-11T09:44:00
United States,Consumer Price Index CPI,1952-11-30T00:00:00,26.69,Monthly,UNITEDSTACONPRIINDCP,2015-04-25T14:49:00
United States,Consumer Price Index CPI,1952-12-31T00:00:00,26.71,Monthly,UNITEDSTACONPRIINDCP,2014-06-11T09:44:00
United States,Consumer Price Index CPI,1953-01-31T00:00:00,26.64,Monthly,UNITEDSTACONPRIINDCP,2014-06-11T09:44:00
United States,Consumer Price Index CPI,1953-02-28T00:00:00,26.59,Monthly,UNITEDSTACONPRIINDCP,2015-04-25T14:49:00
United States,Consumer Price Index CPI,1953-03-31T00:00:00,26.63,Monthly,UNITEDSTACONPRIINDCP,2015-04-25T14:49:00
United States,Consumer Price Index CPI,1953-04-30T00:00:00,26.69,Monthly,UNITEDSTACONPRIINDCP,2014-06-11T09:44:00
United States,Consumer Price Index CPI,1953-05-31T00:00:00,26.7,Monthly,UNITEDSTACONPRIINDCP,2014-06-11T09:44:00
United States,Consumer Price Index CPI,1953-06-30T00:00:00,26.77,Monthly,UNITEDSTACONPRIINDCP,2014-06-11T09:44:00
United States,Consumer Price Index CPI,1953-07-31T00:00:00,26.79,Monthly,UNITEDSTACONPRIINDCP,2014-06-11T09:44:00
United States,Consumer Price Index CPI,1953-08-31T00:00:00,26.85,Monthly,UNITEDSTACONPRIINDCP,2015-04-25T14:49:00
United States,Consumer Price Index CPI,1953-09-30T00:00:00,26.89,Monthly,UNITEDSTACONPRIINDCP,2014-06-11T09:44:00
United States,Consumer Price Index CPI,1953-10-31T00:00:00,26.95,Monthly,UNITEDSTACONPRIINDCP,2014-06-11T09:44:00
United States,Consumer Price Index CPI,1953-11-30T00:00:00,26.85,Monthly,UNITEDSTACONPRIINDCP,2015-04-25T14:49:00
United States,Consumer Price Index CPI,1953-12-31T00:00:00,26.87,Monthly,UNITEDSTACONPRIINDCP,2014-06-11T09:44:00
United States,Consumer Price Index CPI,1954-01-31T00:00:00,26.94,Monthly,UNITEDSTACONPRIINDCP,2014-06-11T09:44:00
United States,Consumer Price Index CPI,1954-02-28T00:00:00,26.99,Monthly,UNITEDSTACONPRIINDCP,2014-06-11T09:44:00
United States,Consumer Price Index CPI,1954-03-31T00:00:00,26.93,Monthly,UNITEDSTACONPRIINDCP,2014-06-11T09:44:00
United States,Consumer Price Index CPI,1954-04-30T00:00:00,26.86,Monthly,UNITEDSTACONPRIINDCP,2014-06-11T09:44:00
United States,Consumer Price Index CPI,1954-05-31T00:00:00,26.93,Monthly,UNITEDSTACONPRIINDCP,2015-04-25T14:49:00
United States,Consumer Price Index CPI,1954-06-30T00:00:00,26.94,Monthly,UNITEDSTACONPRIINDCP,2014-06-11T09:44:00
United States,Consumer Price Index CPI,1954-07-31T00:00:00,26.86,Monthly,UNITEDSTACONPRIINDCP,2014-06-11T09:44:00
United States,Consumer Price Index CPI,1954-08-31T00:00:00,26.85,Monthly,UNITEDSTACONPRIINDCP,2015-04-25T14:49:00
United States,Consumer Price Index CPI,1954-09-30T00:00:00,26.81,Monthly,UNITEDSTACONPRIINDCP,2014-06-11T09:44:00
United States,Consumer Price Index CPI,1954-10-31T00:00:00,26.72,Monthly,UNITEDSTACONPRIINDCP,2014-06-11T09:44:00
United States,Consumer Price Index CPI,1954-11-30T00:00:00,26.78,Monthly,UNITEDSTACONPRIINDCP,2014-06-11T09:44:00
United States,Consumer Price Index CPI,1954-12-31T00:00:00,26.77,Monthly,UNITEDSTACONPRIINDCP,2014-06-11T09:44:00
United States,Consumer Price Index CPI,1955-01-31T00:00:00,26.77,Monthly,UNITEDSTACONPRIINDCP,2015-04-25T14:49:00
United States,Consumer Price Index CPI,1955-02-28T00:00:00,26.82,Monthly,UNITEDSTACONPRIINDCP,2014-06-11T09:44:00
United States,Consumer Price Index CPI,1955-03-31T00:00:00,26.79,Monthly,UNITEDSTACONPRIINDCP,2014-06-11T09:44:00
United States,Consumer Price Index CPI,1955-04-30T00:00:00,26.79,Monthly,UNITEDSTACONPRIINDCP,2014-06-11T09:44:00
United States,Consumer Price Index CPI,1955-05-31T00:00:00,26.77,Monthly,UNITEDSTACONPRIINDCP,2015-04-25T14:49:00
United States,Consumer Price Index CPI,1955-06-30T00:00:00,26.71,Monthly,UNITEDSTACONPRIINDCP,2014-06-11T09:44:00
United States,Consumer Price Index CPI,1955-07-31T00:00:00,26.76,Monthly,UNITEDSTACONPRIINDCP,2014-06-11T09:44:00
United States,Consumer Price Index CPI,1955-08-31T00:00:00,26.72,Monthly,UNITEDSTACONPRIINDCP,2014-06-11T09:44:00
United States,Consumer Price Index CPI,1955-09-30T00:00:00,26.85,Monthly,UNITEDSTACONPRIINDCP,2014-06-11T09:44:00
United States,Consumer Price Index CPI,1955-10-31T00:00:00,26.82,Monthly,UNITEDSTACONPRIINDCP,2015-04-25T14:49:00
United States,Consumer Price Index CPI,1955-11-30T00:00:00,26.88,Monthly,UNITEDSTACONPRIINDCP,2014-06-11T09:44:00
United States,Consumer Price Index CPI,1955-12-31T00:00:00,26.87,Monthly,UNITEDSTACONPRIINDCP,2014-06-11T09:44:00
United States,Consumer Price Index CPI,1956-01-31T00:00:00,26.83,Monthly,UNITEDSTACONPRIINDCP,2015-04-25T14:49:00
United States,Consumer Price Index CPI,1956-02-29T00:00:00,26.86,Monthly,UNITEDSTACONPRIINDCP,2014-06-11T09:44:00
United States,Consumer Price Index CPI,1956-03-31T00:00:00,26.89,Monthly,UNITEDSTACONPRIINDCP,2014-06-11T09:44:00
United States,Consumer Price Index CPI,1956-04-30T00:00:00,26.93,Monthly,UNITEDSTACONPRIINDCP,2015-04-25T14:49:00
United States,Consumer Price Index CPI,1956-05-31T00:00:00,27.03,Monthly,UNITEDSTACONPRIINDCP,2014-06-11T09:44:00
United States,Consumer Price Index CPI,1956-06-30T00:00:00,27.15,Monthly,UNITEDSTACONPRIINDCP,2014-06-11T09:44:00
United States,Consumer Price Index CPI,1956-07-31T00:00:00,27.29,Monthly,UNITEDSTACONPRIINDCP,2015-04-25T14:49:00
United States,Consumer Price Index CPI,1956-08-31T00:00:00,27.31,Monthly,UNITEDSTACONPRIINDCP,2014-06-11T09:44:00
United States,Consumer Price Index CPI,1956-09-30T00:00:00,27.35,Monthly,UNITEDSTACONPRIINDCP,2015-04-25T14:49:00
United States,Consumer Price Index CPI,1956-10-31T00:00:00,27.51,Monthly,UNITEDSTACONPRIINDCP,2014-06-11T09:44:00
United States,Consumer Price Index CPI,1956-11-30T00:00:00,27.51,Monthly,UNITEDSTACONPRIINDCP,2014-06-11T09:44:00
United States,Consumer Price Index CPI,1956-12-31T00:00:00,27.63,Monthly,UNITEDSTACONPRIINDCP,2015-04-25T14:49:00
United States,Consumer Price Index CPI,1957-01-31T00:00:00,27.67,Monthly,UNITEDSTACONPRIINDCP,2014-06-11T09:44:00
United States,Consumer Price Index CPI,1957-02-28T00:00:00,27.8,Monthly,UNITEDSTACONPRIINDCP,2014-06-11T09:44:00
United States,Consumer Price Index CPI,1957-03-31T00:00:00,27.86,Monthly,UNITEDSTACONPRIINDCP,2014-06-11T09:44:00
United States,Consumer Price Index CPI,1957-04-30T00:00:00,27.93,Monthly,UNITEDSTACONPRIINDCP,2014-06-11T09:44:00
United States,Consumer Price Index CPI,1957-05-31T00:00:00,28,Monthly,UNITEDSTACONPRIINDCP,2014-06-11T09:44:00
United States,Consumer Price Index CPI,1957-06-30T00:00:00,28.11,Monthly,UNITEDSTACONPRIINDCP,2015-04-25T14:49:00
United States,Consumer Price Index CPI,1957-07-31T00:00:00,28.19,Monthly,UNITEDSTACONPRIINDCP,2014-06-11T09:44:00
United States,Consumer Price Index CPI,1957-08-31T00:00:00,28.28,Monthly,UNITEDSTACONPRIINDCP,2014-06-11T09:44:00
United States,Consumer Price Index CPI,1957-09-30T00:00:00,28.32,Monthly,UNITEDSTACONPRIINDCP,2015-04-25T14:49:00
United States,Consumer Price Index CPI,1957-10-31T00:00:00,28.32,Monthly,UNITEDSTACONPRIINDCP,2014-06-11T09:44:00
United States,Consumer Price Index CPI,1957-11-30T00:00:00,28.41,Monthly,UNITEDSTACONPRIINDCP,2014-06-11T09:44:00
United States,Consumer Price Index CPI,1957-12-31T00:00:00,28.47,Monthly,UNITEDSTACONPRIINDCP,2015-04-25T14:49:00
United States,Consumer Price Index CPI,1958-01-31T00:00:00,28.64,Monthly,UNITEDSTACONPRIINDCP,2014-06-11T09:44:00
United States,Consumer Price Index CPI,1958-02-28T00:00:00,28.7,Monthly,UNITEDSTACONPRIINDCP,2015-04-25T14:49:00
United States,Consumer Price Index CPI,1958-03-31T00:00:00,28.87,Monthly,UNITEDSTACONPRIINDCP,2015-04-25T14:49:00
